SMILES,Title,Actividad,IC50
Cn1cnc2ncn(Cc3nc(no3)[C@H]3[C@@H]4CC(=C[C@H]34)c3cccc(F)c3F)c(=O)c12,BD-124,1,2.1
Nc1nn2c(ncc2c(=O)n1Cc1nc(no1)[C@@H]1CO[C@H](C1)c1ccc(Cl)cc1)C(F)(F)F,BD-125,1,2.1
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CN(C[C@@H]34)c3ccc4sncc4c3)c(=O)c12,BD-126,1,2.1
Cn1nnc2ccn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-127,1,2.1
Oc1cnc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3ccccc3o2)cc1-c1ccc(cn1)C(F)(F)F,BD-128,1,2.1
Cn1nnc2nc(N)n(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-129,1,2.1
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(c1)-c1ccc(Cl)cc1,BD-130,1,2.1
Cc1ccnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-131,1,2.14
Fc1ccc(cc1)S(=O)(=O)N1C2CC(C2)[C@H]1C(=O)NCc1cc(nc(n1)C1CC1)-c1cnc(nc1)C(F)(F)F,BD-132,1,2.15
Cn1c2occ(CC(=O)Nc3nc(cs3)-c3cc(F)cc(c3)C(F)(F)F)c2c(=O)n(C)c1=O,BD-133,1,2.15
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cncc(c1)-c1ccc(nc1)C(F)(F)F,BD-134,1,2.2
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-135,1,2.2
Fc1cccc2oc(cc12)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(c1)-c1ccc(nc1)C(F)(F)F,BD-136,1,2.2
Oc1ccc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3ccccc3o2)cc1-c1ccc(cn1)C(F)(F)F,BD-137,1,2.2
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cc(ccn1)-c1ccc(cc1)C(F)(F)F,BD-138,1,2.2
Cn1c2occ(CC(=O)Nc3nc(cs3)-c3cccc(c3F)C(F)(F)F)c2c(=O)n(C)c1=O,BD-139,1,2.21
Nc1nc2ncsc2c(=O)n1Cc1nc(no1)[C@@H]1CO[C@H](C1)c1ccc(F)cc1,BD-140,1,2.3
Cc1cnn2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc4cnn(C)c4c3)c(=O)c12,BD-141,1,2.3
Cn1cnc2ncn(Cc3nc(no3)[C@H]3[C@@H]4CC(=C[C@H]34)c3cccc(F)c3)c(=O)c12,BD-142,1,2.3
Fc1ccc2oc(cc2c1)S(=O)(=O)N1[C@@H]2CC[C@@H](C2)[C@H]1C(=O)NCc1cc(ccn1)-c1ccc(cn1)C(F)(F)F,BD-143,1,2.3
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CC(=C[C@@H]34)c3cc(F)cc(F)c3)c(=O)c12,BD-144,1,2.4
Clc1ccc(cc1)[C@H]1C[C@@H](CO1)c1noc(Cn2ncn3c(cccc3=O)c2=O)n1,BD-145,1,2.4
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc4ccccc4c3)c(=O)c12,BD-146,1,2.4
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCC[C@H]1C(=O)NCc1cc(ccn1)-c1ccc(OC(F)(F)F)cc1,BD-147,1,2.4
FC(F)(F)c1ccc(cc1)-c1cc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3ccccc3o2)ccn1,BD-148,1,2.4
Cn1c2scc(CC(=O)Nc3nc(cs3)-c3ccc(F)c(c3F)C(F)(F)F)c2c(=O)n(C)c1=O,BD-149,1,2.49
Oc1cc(ccc1-c1cc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3ccccc3o2)ncn1)C(F)(F)F,BD-150,1,2.5
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCC[C@H]1C(=O)NCc1cccc(c1)-c1cnc(cn1)C(F)(F)F,BD-151,1,2.5
FC(F)(F)c1ncc(cn1)-c1cccc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3ccccc3o2)c1,BD-152,1,2.5
COc1cc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3ccccc3o2)cc(c1)-c1ccc(nc1)C(F)(F)F,BD-153,1,2.5
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CN(C[C@@H]34)c3cccc(F)c3F)c(=O)c12,BD-154,1,2.5
Cc1ccnc2ncn(Cc3nn([C@H]4C[C@@H](C4)c4ccc(cc4)C#N)c(=O)o3)c(=O)c12,BD-155,1,2.58
Oc1cc(ccc1-c1cc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3ccccc3o2)ccn1)C(F)(F)F,BD-156,1,2.6
Fc1ccc(cc1)S(=O)(=O)N1C2CC(C2)[C@H]1C(=O)NCc1cc(ncc1C(F)(F)F)-c1cnc(nc1)C(F)(F)F,BD-157,1,2.61
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCC[C@H]1C(=O)NCc1cc(ncn1)-c1ccc(OC(F)(F)F)cc1,BD-158,1,2.7
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCC1C(=O)NCc1cc(ncn1)-c1ccc(nc1)C(F)(F)F,BD-159,1,2.7
Cn1nnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-160,1,2.7
Nc1nc2ncccc2c(=O)n1Cc1nc(no1)[C@@H]1CO[C@H](C1)c1ccc(Cl)cc1,BD-161,1,2.7
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(Oc2ccc(cc2)C(F)(F)F)c1,BD-162,1,2.7
Oc1cc(ccc1-c1cc(CNC(=O)[C@@H]2CCN2S(=O)(=O)c2cc3cc(F)ccc3o2)ncn1)C(F)(F)F,BD-163,1,2.7
Fc1ccc(cc1)S(=O)(=O)N1C2CC(C2)[C@H]1C(=O)NCc1cc(ncc1OC(F)(F)F)-c1cnc(nc1)C(F)(F)F,BD-164,1,2.77
FC(F)(F)Oc1ccc(cc1)-c1cc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3cnccc3o2)ncn1,BD-165,1,2.8
